episod,recompensa,pasi,succes,epsilon
117,46.90000000000032,252,0,0.8895331192339416
118,41.60000000000048,238,0,0.8886435861147077
119,38.65000000000026,207,0,0.887754942528593
120,39.25000000000034,195,0,0.8868671875860644
121,31.000000000000313,210,0,0.8859803203984784
122,32.400000000000375,182,0,0.88509434007808
123,45.35000000000025,193,0,0.8842092457380019
124,35.350000000000335,273,0,0.8833250364922639
125,37.000000000000426,240,0,0.8824417114557717
126,29.60000000000042,238,0,0.8815592697443159
127,104.84999999999987,413,0,0.8806777104745716
128,33.60000000000022,248,0,0.8797970327640969
129,35.650000000000404,237,0,0.8789172357313328
130,35.95000000000026,201,0,0.8780383184956015
